Tageszeit;-17;-16;-15;-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
10:00:00;1,1509;1,1510;1,1451;1,1372;1,1273;1,1154;1,1016;1,0858;1,0680;1,0484;1,0187;1,0035;0,9783;0,9513;0,9255;0,8976;0,8676;0,8389;0,8047;0,7684;0,7074;0,6485;0,5904;0,5336;0,4783;0,4243;0,3718;0,3206;0,2708;0,2223;0,1752;0,1303;0,0856;0,0413;0,0050
10:15:00;1,1414;1,1415;1,1357;1,1279;1,1180;1,1062;1,0925;1,0768;1,0592;1,0398;1,0103;0,9952;0,9702;0,9434;0,9178;0,8902;0,8604;0,8319;0,7980;0,7621;0,7016;0,6432;0,5855;0,5292;0,4743;0,4208;0,3687;0,3179;0,2685;0,2205;0,1738;0,1292;0,0849;0,0410;0,0050
10:30:00;1,1327;1,1328;1,1270;1,1192;1,1095;1,0978;1,0841;1,0686;1,0511;1,0318;1,0026;0,9876;0,9628;0,9362;0,9108;0,8833;0,8538;0,8256;0,7919;0,7563;0,6962;0,6383;0,5810;0,5252;0,4707;0,4176;0,3659;0,3155;0,2665;0,2188;0,1724;0,1283;0,0842;0,0407;0,0049
10:45:00;1,1264;1,1265;1,1208;1,1130;1,1033;1,0917;1,0781;1,0627;1,0453;1,0261;0,9971;0,9822;0,9575;0,9310;0,9058;0,8785;0,8491;0,8210;0,7875;0,7521;0,6924;0,6347;0,5778;0,5222;0,4681;0,4153;0,3638;0,3138;0,2650;0,2176;0,1715;0,1275;0,0838;0,0404;0,0049
11:00:00;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
11:15:00;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
11:30:00;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
11:45:00;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
12:00:00;1,0708;1,0709;1,0655;1,0581;1,0489;1,0378;1,0249;1,0102;0,9937;0,9755;0,9479;0,9337;0,9102;0,8851;0,8611;0,8351;0,8072;0,7805;0,7487;0,7150;0,6582;0,6034;0,5493;0,4965;0,4450;0,3948;0,3459;0,2983;0,2519;0,2068;0,1630;0,1213;0,0796;0,0385;0,0047
12:15:00;1,0666;1,0666;1,0612;1,0539;1,0447;1,0337;1,0209;1,0062;0,9898;0,9716;0,9441;0,9300;0,9066;0,8816;0,8576;0,8318;0,8040;0,7774;0,7457;0,7121;0,6556;0,6010;0,5471;0,4945;0,4432;0,3932;0,3445;0,2971;0,2509;0,2060;0,1624;0,1208;0,0793;0,0383;0,0046
