Datum,Kapazität in kWh,Restkapazität in kWh,Einspeisung in kWh
2030-10-17 22:15:00,9250000.0,9238064.509538418,-11935.49046158313
2030-10-17 22:30:00,9250000.0,9238469.462950898,-11530.53704910148
2030-10-17 22:45:00,9250000.0,9238885.427166522,-11114.572833478695
2030-10-17 23:00:00,9250000.0,9239330.917236961,-10669.08276303807
2030-10-17 23:15:00,9250000.0,9239565.852945896,-10434.147054105048
2030-10-17 23:30:00,9250000.0,9239966.09202113,-10033.907978870118
2030-10-17 23:45:00,9250000.0,9240288.480528787,-9711.519471213564
2030-10-18 00:00:00,9250000.0,9240520.022143397,-9479.977856602367
2030-10-18 00:15:00,9250000.0,9240741.252896601,-9258.74710339792
2030-10-18 00:30:00,9250000.0,9240933.181330267,-9066.818669732056
2030-10-18 00:45:00,9250000.0,9241029.585412346,-8970.414587654457
2030-10-18 01:00:00,9250000.0,9241026.588099316,-8973.411900684347
2030-10-18 01:15:00,9250000.0,9241179.921517115,-8820.078482885194
2030-10-18 01:30:00,9250000.0,9241339.30652309,-8660.693476909957
2030-10-18 01:45:00,9250000.0,9241335.237205092,-8664.762794907818
2030-10-18 02:00:00,9250000.0,9241455.551753143,-8544.448246857202
2030-10-18 02:15:00,9250000.0,9241591.851223312,-8408.148776687338
2030-10-18 02:30:00,9250000.0,9241511.950996192,-8488.049003806933
2030-10-18 02:45:00,9250000.0,9241453.556729333,-8546.443270666385
2030-10-18 03:00:00,9250000.0,9241441.415768111,-8558.584231888159
2030-10-18 03:15:00,9250000.0,9241446.259360505,-8553.740639494612
2030-10-18 03:30:00,9250000.0,9241416.28177344,-8583.71822655867
2030-10-18 03:45:00,9250000.0,9241415.841554398,-8584.158445601623
2030-10-18 04:00:00,9250000.0,9241390.029192625,-8609.970807375776
2030-10-18 04:15:00,9250000.0,9241425.822153494,-8574.177846506167
2030-10-18 04:30:00,9250000.0,9241258.962110864,-8741.037889135963
2030-10-18 04:45:00,9250000.0,9241167.348812176,-8832.651187824544
2030-10-18 05:00:00,9250000.0,9240805.633508632,-9194.366491368575
2030-10-18 05:15:00,9250000.0,9240619.916497167,-9380.083502831982
2030-10-18 05:30:00,9250000.0,9240282.521316508,-9717.47868349249
2030-10-18 05:45:00,9250000.0,9239947.890770437,-10052.109229562066
2030-10-18 06:00:00,9250000.0,9239129.560215076,-10870.439784923961
2030-10-18 06:15:00,9250000.0,9238525.83011226,-11474.16988773955
2030-10-18 06:30:00,9250000.0,9238092.183583109,-11907.816416891654
2030-10-18 06:45:00,9250000.0,9237625.378836006,-12374.621163994994
2030-10-18 07:00:00,9250000.0,9237281.714370262,-12718.285629737667
2030-10-18 07:15:00,9250000.0,9237109.12050444,-12890.879495558576
2030-10-18 07:30:00,9250000.0,9236986.07084834,-13013.929151660685
2030-10-18 07:45:00,9250000.0,9237108.137269944,-12891.862730055838
2030-10-18 08:00:00,9250000.0,9237336.492551045,-12663.507448954597
2030-10-18 08:15:00,9250000.0,9237905.41553816,-12094.58446184005
2030-10-18 08:30:00,9250000.0,9238607.372342369,-11392.627657632047
2030-10-18 08:45:00,9250000.0,9239387.077899521,-10612.922100478509
2030-10-18 09:00:00,9250000.0,9240526.734472929,-9473.265527070744
2030-10-18 09:15:00,9250000.0,9241379.827393163,-8620.172606837123
2030-10-18 09:30:00,9250000.0,9242188.076652046,-7811.923347953751
2030-10-18 09:45:00,9250000.0,9243171.676717794,-6828.323282206609
2030-10-18 10:00:00,9250000.0,9244028.090900721,-5971.909099278793
2030-10-18 10:15:00,9250000.0,9244633.38150141,-5366.618498590044
2030-10-18 10:30:00,9250000.0,9245187.131066985,-4812.868933013902
2030-10-18 10:45:00,9250000.0,9245809.909066418,-4190.09093358248
2030-10-18 11:00:00,9250000.0,9246256.233313682,-3743.7666863190207
2030-10-18 11:15:00,9250000.0,9246948.927220672,-3051.072779328133
2030-10-18 11:30:00,9250000.0,9247575.906282788,-2424.0937172112062
2030-10-18 11:45:00,9250000.0,9248232.674209647,-1767.325790353625
2030-10-18 12:00:00,9250000.0,9248971.417488331,-1028.5825116689157
