Datum,Differenz,Speicher,Netz
2030-05-04 15:45:00,-2411.828890043369,0.0,-2411.828890043369
2030-05-04 16:00:00,-1568.808804093489,0.0,-1568.808804093489
2030-05-04 16:15:00,-856.8911529483885,0.0,-856.8911529483885
2030-05-04 16:30:00,-137.57234286507082,0.0,-137.57234286507082
2030-05-04 16:45:00,801.9607269197877,801.9607269197877,0.0
2030-05-04 17:00:00,1789.375719747004,2000.0,591.3364466667917
2030-05-04 17:15:00,2755.502116769345,2000.0,2755.502116769345
2030-05-04 17:30:00,3628.921105900732,2000.0,3628.921105900732
2030-05-04 17:45:00,4685.37893640953,2000.0,4685.37893640953
2030-05-04 18:00:00,5765.153304759129,2000.0,5765.153304759129
2030-05-04 18:15:00,6902.999053332536,2000.0,6902.999053332536
2030-05-04 18:30:00,7916.073592986777,2000.0,7916.073592986777
2030-05-04 18:45:00,8817.010171954818,2000.0,8817.010171954818
2030-05-04 19:00:00,9656.164729776818,2000.0,9656.164729776818
2030-05-04 19:15:00,10165.344547708033,2000.0,10165.344547708033
2030-05-04 19:30:00,10721.2251234401,2000.0,10721.2251234401
2030-05-04 19:45:00,10882.732161271531,2000.0,10882.732161271531
2030-05-04 20:00:00,11022.518362226945,2000.0,11022.518362226945
2030-05-04 20:15:00,10693.04671311487,2000.0,10693.04671311487
2030-05-04 20:30:00,10158.988668132512,2000.0,10158.988668132512
2030-05-04 20:45:00,9776.540287238258,2000.0,9776.540287238258
2030-05-04 21:00:00,9603.69400965063,2000.0,9603.69400965063
2030-05-04 21:15:00,8955.553714436683,2000.0,8955.553714436683
2030-05-04 21:30:00,8192.273542003377,2000.0,8192.273542003377
2030-05-04 21:45:00,7554.558634832789,2000.0,7554.558634832789
2030-05-04 22:00:00,7259.2152543370685,2000.0,7259.2152543370685
2030-05-04 22:15:00,6723.034387407131,2000.0,6723.034387407131
2030-05-04 22:30:00,6255.14686104833,2000.0,6255.14686104833
2030-05-04 22:45:00,5802.198013124005,2000.0,5802.198013124005
2030-05-04 23:00:00,5279.6826613641915,2000.0,5279.6826613641915
2030-05-04 23:15:00,4894.366772647758,2000.0,4894.366772647758
2030-05-04 23:30:00,4467.661538621087,2000.0,4467.661538621087
2030-05-04 23:45:00,4248.730681047291,2000.0,4248.730681047291
2030-05-05 00:00:00,3788.634740648271,2000.0,3788.634740648271
2030-05-05 00:15:00,3502.507959291468,2000.0,3502.507959291468
2030-05-05 00:30:00,3308.5937282679606,2000.0,3308.5937282679606
2030-05-05 00:45:00,3111.7277626679715,2000.0,3111.7277626679715
2030-05-05 01:00:00,2915.3882693395517,2000.0,2915.3882693395517
2030-05-05 01:15:00,2942.340649749387,2000.0,2942.340649749387
2030-05-05 01:30:00,2961.705947353761,2000.0,2961.705947353761
2030-05-05 01:45:00,2897.223631726052,2000.0,2897.223631726052
2030-05-05 02:00:00,2660.41036160761,2000.0,2660.41036160761
2030-05-05 02:15:00,2635.7106116761206,2000.0,2635.7106116761206
2030-05-05 02:30:00,2577.6258391340652,2000.0,2577.6258391340652
2030-05-05 02:45:00,2449.595386433324,2000.0,2449.595386433324
