,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh
4703,2030-02-18 23:45:00,14441.412972118042,-1054.3722356942853,15495.785207812327
4704,2030-02-19 00:00:00,14456.950945867826,-782.3013354883842,15239.25228135621
4705,2030-02-19 00:15:00,14482.07903905083,-470.37717226184213,14952.456211312672
4706,2030-02-19 00:30:00,14475.213433651381,-161.23925508571665,14636.452688737098
4707,2030-02-19 00:45:00,14591.187618762813,202.1185340019165,14389.069084760897
4708,2030-02-19 01:00:00,14691.565604532349,556.5661670983645,14134.999437433984
4709,2030-02-19 01:15:00,14625.382888376922,571.3197651883493,14054.063123188573
4710,2030-02-19 01:30:00,14714.32608010119,807.7078076466569,13906.618272454532
4711,2030-02-19 01:45:00,14897.206828365044,1031.7605070701356,13865.446321294909
4712,2030-02-19 02:00:00,15070.881257635407,1298.3357492134946,13772.545508421912
4713,2030-02-19 02:15:00,15154.80643968293,1378.390064057976,13776.416375624955
4714,2030-02-19 02:30:00,15265.277378866758,1544.108835139763,13721.168543726995
4715,2030-02-19 02:45:00,15317.637164521893,1506.0310870511075,13811.606077470786
4716,2030-02-19 03:00:00,15441.1802831889,1588.0503575400326,13853.129925648867
4717,2030-02-19 03:15:00,15617.974577531757,1732.1182291662626,13885.856348365494
4718,2030-02-19 03:30:00,15795.184536844285,1989.5607086872933,13805.623828156991
4719,2030-02-19 03:45:00,15956.750873953932,2108.5475065634837,13848.203367390448
4720,2030-02-19 04:00:00,15986.391221721951,2092.441241931916,13893.949979790035
4721,2030-02-19 04:15:00,16051.552916494107,2139.3042917442417,13912.248624749865
4722,2030-02-19 04:30:00,16123.267279038479,2124.451987747865,13998.815291290613
4723,2030-02-19 04:45:00,16205.061957776754,2231.58325181514,13973.478705961614
4724,2030-02-19 05:00:00,16312.400394667704,2338.217894669173,13974.182499998531
4725,2030-02-19 05:15:00,16352.005694066798,2312.018451616561,14039.987242450237
4726,2030-02-19 05:30:00,16347.501321102256,2302.587520393601,14044.913800708655
4727,2030-02-19 05:45:00,16290.174074651926,2223.090761780397,14067.08331287153
4728,2030-02-19 06:00:00,16264.780466702676,0.0,16264.780466702676
4729,2030-02-19 06:15:00,16272.49955046167,0.0,16272.49955046167
