Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
2030-06-25 00:30:00,2889.544505865565,0.0,-6281.255631333896,9170.800137199461
2030-06-25 00:45:00,2812.6113561641832,0.0,-6246.1891179468075,9058.80047411099
2030-06-25 01:00:00,2810.480118212969,0.0,-6100.820159649729,8911.300277862698
2030-06-25 01:15:00,2744.293239113273,0.0,-6074.256517648368,8818.54975676164
2030-06-25 01:30:00,2670.60020088326,0.0,-6087.449236457089,8758.049437340349
2030-06-25 01:45:00,2627.4597005639184,0.0,-6032.589600192387,8660.049300756305
2030-06-25 02:00:00,2630.498812902309,0.0,-5937.550449591539,8568.049262493849
2030-06-25 02:15:00,2618.617756186855,0.0,-5934.93192640053,8553.549682587385
2030-06-25 02:30:00,2680.954484309242,0.0,-5779.846698065116,8460.801182374358
2030-06-25 02:45:00,2710.4125819510673,0.0,-5710.889381151005,8421.301963102072
2030-06-25 03:00:00,2766.7129616180164,0.0,-5664.3394544421035,8431.05241606012
2030-06-25 03:15:00,2806.469921032064,0.0,-5574.333158699698,8380.803079731762
2030-06-25 03:30:00,2805.340459691359,0.0,-5583.464441699909,8388.804901391268
2030-06-25 03:45:00,2758.060815423792,0.0,-5575.2450110613645,8333.305826485157
2030-06-25 04:00:00,2802.5449799856146,0.0,-5499.761215198974,8302.306195184588
2030-06-25 04:15:00,2728.354636660142,0.0,-5581.951821824239,8310.306458484381
2030-06-25 04:30:00,2713.6194010657105,0.0,-5611.43729654878,8325.056697614491
2030-06-25 04:45:00,2685.924631265945,0.0,-5576.6323830541005,8262.557014320046
2030-06-25 05:00:00,2701.697637270275,0.0,-5504.608932380494,8206.30656965077
2030-06-25 05:15:00,2687.161656425974,0.0,-5511.144974349359,8198.306630775332
2030-06-25 05:30:00,2633.6371195631673,0.0,-5520.419996528084,8154.057116091251
2030-06-25 05:45:00,2573.704895782796,0.0,-5621.852118153545,8195.55701393634
2030-06-25 06:00:00,2621.994225042753,0.0,-5747.562527333505,8369.556752376258
2030-06-25 06:15:00,2604.7010175159994,0.0,-5823.105696024108,8427.806713540107
