Datum,Differenz in MWh,Kapazität in MWh,Laden/Einspeisen in MWh
2030-01-02 04:45:00,-7779.6549938657045,512106.4300486549,-7779.6549938657045
2030-01-02 05:00:00,-7437.506698570474,519543.93674722535,-7437.506698570474
2030-01-02 05:15:00,-7172.309560527401,526716.2463077528,-7172.309560527401
2030-01-02 05:30:00,-6991.7537650121485,533708.0000727649,-6991.7537650121485
2030-01-02 05:45:00,-6842.958890533811,540550.9589632987,-6842.958890533811
2030-01-02 06:00:00,-6506.747289536752,547057.7062528355,-6506.747289536752
2030-01-02 06:15:00,-6466.809629196927,553524.5158820323,-6466.809629196927
2030-01-02 06:30:00,-6092.27625925525,559616.7921412876,-6092.27625925525
2030-01-02 06:45:00,-5894.937150027781,565511.7292913154,-5894.937150027781
2030-01-02 07:00:00,-5587.171174952946,571098.9004662684,-5587.171174952946
2030-01-02 07:15:00,-5289.543699360656,576388.4441656291,-5289.543699360656
2030-01-02 07:30:00,-4964.8368763635735,581353.2810419927,-4964.8368763635735
2030-01-02 07:45:00,-4974.173395225451,586327.4544372181,-4974.173395225451
2030-01-02 08:00:00,-4633.331781201017,590960.7862184192,-4633.331781201017
2030-01-02 08:15:00,-4613.59577796156,595574.3819963807,-4613.59577796156
2030-01-02 08:30:00,-4653.484508911628,600227.8665052924,-4653.484508911628
2030-01-02 08:45:00,-4918.729371543093,605146.5958768354,-4918.729371543093
2030-01-02 09:00:00,-5463.076326104419,610609.6722029399,-5463.076326104419
2030-01-02 09:15:00,-5884.15224526366,616493.8244482036,-5884.15224526366
2030-01-02 09:30:00,-6005.397008305808,622499.2214565093,-6005.397008305808
2030-01-02 09:45:00,-5676.6094463101945,628175.8309028195,-5676.6094463101945
2030-01-02 10:00:00,-5679.93509775685,633855.7660005763,-5679.93509775685
2030-01-02 10:15:00,-6084.538338315691,639940.304338892,-6084.538338315691
2030-01-02 10:30:00,-5973.596563323463,645913.9009022155,-5973.596563323463
2030-01-02 10:45:00,-6038.121370436627,651952.0222726521,-6038.121370436627
2030-01-02 11:00:00,-6471.354484298739,658423.3767569509,-6471.354484298739
2030-01-02 11:15:00,-6483.1054716954895,664906.4822286464,-6483.1054716954895
2030-01-02 11:30:00,-6427.435011721529,671333.917240368,-6427.435011721529
2030-01-02 11:45:00,-6312.437512267123,677646.3547526351,-6312.437512267123
2030-01-02 12:00:00,-6098.30898350769,683744.6637361428,-6098.30898350769
2030-01-02 12:15:00,-6149.706548678929,689894.3702848217,-6149.706548678929
2030-01-02 12:30:00,-6157.215575906459,696051.5858607282,-6157.215575906459
2030-01-02 12:45:00,-6117.797301569502,702169.3831622977,-6117.797301569502
2030-01-02 13:00:00,-6100.962074502026,708270.3452367997,-6100.962074502026
2030-01-02 13:15:00,-5922.521148321048,714192.8663851208,-5922.521148321048
2030-01-02 13:30:00,-5571.510506601655,719764.3768917224,-5571.510506601655
2030-01-02 13:45:00,-5465.479941307622,725229.85683303,-5465.479941307622
2030-01-02 14:00:00,-5553.853747149205,730783.7105801792,-5553.853747149205
2030-01-02 14:15:00,-5320.879585419014,736104.5901655982,-5320.879585419014
2030-01-02 14:30:00,-4672.202110003833,740776.792275602,-4672.202110003833
2030-01-02 14:45:00,-4015.2580463420527,744792.050321944,-4015.2580463420527
2030-01-02 15:00:00,-3025.239993733896,747817.290315678,-3025.239993733896
2030-01-02 15:15:00,-2601.1656613617306,750418.4559770398,-2601.1656613617306
2030-01-02 15:30:00,-2318.1471686999466,752736.6031457398,-2318.1471686999466
2030-01-02 15:45:00,-2116.176323065909,754852.7794688056,-2116.176323065909
2030-01-02 16:00:00,-1605.50529217847,756458.2847609841,-1605.50529217847
2030-01-02 16:15:00,-1046.980639744248,757505.2654007283,-1046.980639744248
2030-01-02 16:30:00,-767.7070348594461,758272.9724355878,-767.7070348594461
2030-01-02 16:45:00,-460.335331570619,758733.3077671584,-460.335331570619
2030-01-02 17:00:00,-301.12492530083546,759034.4326924592,-301.12492530083546
2030-01-02 17:15:00,-424.78000995973343,759459.2127024189,-424.78000995973343
2030-01-02 17:30:00,-746.777865558186,760205.9905679771,-746.777865558186
2030-01-02 17:45:00,-1065.2154240046948,761271.2059919818,-1065.2154240046948
2030-01-02 18:00:00,-1054.2687940299147,762325.4747860117,-1054.2687940299147
2030-01-02 18:15:00,-1148.319175212273,763473.793961224,-1148.319175212273
2030-01-02 18:30:00,-1322.6339320947227,764796.4278933187,-1322.6339320947227
2030-01-02 18:45:00,-1446.3246388468142,766242.7525321655,-1446.3246388468142
2030-01-02 19:00:00,-1550.0865360763237,767792.8390682418,-1550.0865360763237
2030-01-02 19:15:00,-1426.1850986373393,769219.0241668791,-1426.1850986373393
2030-01-02 19:30:00,-1562.1107848537176,770781.1349517328,-1562.1107848537176
