Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
2030-01-02 08:30:00,24230.29584435421,-4653.484508911628,19576.81133544258,0.0
2030-01-02 08:45:00,24536.341967523702,-4918.729371543093,19617.61259598061,0.0
2030-01-02 09:00:00,25234.91544959137,-5463.076326104419,19771.839123486952,0.0
2030-01-02 09:15:00,25597.894699458717,-5884.15224526366,19713.742454195057,0.0
2030-01-02 09:30:00,25895.14475552197,-6005.397008305808,19889.747747216163,0.0
2030-01-02 09:45:00,25761.729501252466,-5676.6094463101945,20085.120054942272,0.0
2030-01-02 10:00:00,25936.56571777147,-5679.93509775685,20256.63062001462,0.0
2030-01-02 10:15:00,26492.621569633477,-6084.538338315691,20408.083231317785,0.0
2030-01-02 10:30:00,26549.385628526725,-5973.596563323463,20575.789065203262,0.0
2030-01-02 10:45:00,26742.542920079777,-6038.121370436627,20704.42154964315,0.0
2030-01-02 11:00:00,27150.178589093055,-6471.354484298739,20678.824104794316,0.0
2030-01-02 11:15:00,27421.615626121464,-6483.1054716954895,20938.510154425974,0.0
2030-01-02 11:30:00,27468.986383632233,-6427.435011721529,21041.551371910704,0.0
2030-01-02 11:45:00,27553.504056623562,-6312.437512267123,21241.06654435644,0.0
2030-01-02 12:00:00,27444.147365030774,-6098.30898350769,21345.838381523085,0.0
2030-01-02 12:15:00,27424.99909394869,-6149.706548678929,21275.29254526976,0.0
2030-01-02 12:30:00,27487.138211606878,-6157.215575906459,21329.92263570042,0.0
2030-01-02 12:45:00,27335.33331581604,-6117.797301569502,21217.536014246536,0.0
2030-01-02 13:00:00,27178.79493822615,-6100.962074502026,21077.832863724125,0.0
2030-01-02 13:15:00,26856.15180456831,-5922.521148321048,20933.630656247264,0.0
2030-01-02 13:30:00,26461.568571715317,-5571.510506601655,20890.058065113662,0.0
2030-01-02 13:45:00,26178.142131035365,-5465.479941307622,20712.662189727744,0.0
2030-01-02 14:00:00,26071.831168781133,-5553.853747149205,20517.977421631927,0.0
2030-01-02 14:15:00,25762.089288649106,-5320.879585419014,20441.20970323009,0.0
2030-01-02 14:30:00,25155.94259205435,-4672.202110003833,20483.740482050518,0.0
2030-01-02 14:45:00,24444.01657075203,-4015.2580463420527,20428.758524409976,0.0
2030-01-02 15:00:00,23597.853597798516,-3025.239993733896,20572.61360406462,0.0
2030-01-02 15:15:00,23012.635500275315,-2601.1656613617306,20411.469838913585,0.0
2030-01-02 15:30:00,22630.368904912233,-2318.1471686999466,20312.221736212286,0.0
2030-01-02 15:45:00,22450.528848294074,-2116.176323065909,20334.352525228165,0.0
2030-01-02 16:00:00,22070.573915620644,-1605.50529217847,20465.068623442174,0.0
2030-01-02 16:15:00,21682.184301188427,-1046.980639744248,20635.20366144418,0.0
2030-01-02 16:30:00,21516.337339629874,-767.7070348594461,20748.630304770428,0.0
2030-01-02 16:45:00,21447.567403960013,-460.335331570619,20987.232072389394,0.0
