Datum,Gesamterzeugung_EE,Speicher Ladeleistung,Speicher Entladeleistung,Speicher + Erneuerbare in MWh,Leistung Flexkraftwerk,EE + Speicher + Flexible in MWh
2030-09-23 14:30:00,17995.410623097225,0.0,0.0,17995.410623097225,0.0,17995.410623097225
2030-09-23 14:45:00,17706.79397703969,0.0,0.0,17706.79397703969,0.0,17706.79397703969
2030-09-23 15:00:00,16910.852830850337,0.0,0.0,16910.852830850337,0.0,16910.852830850337
2030-09-23 15:15:00,16626.14751292408,0.0,0.0,16626.14751292408,0.0,16626.14751292408
2030-09-23 15:30:00,15945.689997637153,0.0,0.0,15945.689997637153,0.0,15945.689997637153
2030-09-23 15:45:00,15808.777871722563,0.0,142.76219302424215,15951.540064746805,0.0,15951.540064746805
2030-09-23 16:00:00,15551.931384723584,0.0,250.0,15801.931384723584,47.0,15848.931384723584
2030-09-23 16:15:00,15270.371609770504,0.0,7.237806975757849,15277.609416746262,47.0,15324.609416746262
2030-09-23 16:30:00,14621.178574482163,0.0,0.0,14621.178574482163,47.0,14668.178574482163
2030-09-23 16:45:00,13878.944158732818,0.0,0.0,13878.944158732818,47.0,13925.944158732818
2030-09-23 17:00:00,13047.991150306269,0.0,0.0,13047.991150306269,47.0,13094.991150306269
2030-09-23 17:15:00,12206.416715387968,0.0,0.0,12206.416715387968,47.0,12253.416715387968
2030-09-23 17:30:00,11906.214722211596,0.0,0.0,11906.214722211596,47.0,11953.214722211596
2030-09-23 17:45:00,11600.787447221035,0.0,0.0,11600.787447221035,47.0,11647.787447221035
2030-09-23 18:00:00,11138.501662389604,0.0,0.0,11138.501662389604,47.0,11185.501662389604
2030-09-23 18:15:00,10792.062601469774,0.0,0.0,10792.062601469774,47.0,10839.062601469774
2030-09-23 18:30:00,10311.036338365744,0.0,0.0,10311.036338365744,47.0,10358.036338365744
2030-09-23 18:45:00,10288.603418358696,0.0,0.0,10288.603418358696,47.0,10335.603418358696
2030-09-23 19:00:00,10303.079063728754,0.0,0.0,10303.079063728754,47.0,10350.079063728754
2030-09-23 19:15:00,10559.565605439173,0.0,0.0,10559.565605439173,47.0,10606.565605439173
2030-09-23 19:30:00,10897.327184853264,0.0,0.0,10897.327184853264,47.0,10944.327184853264
2030-09-23 19:45:00,11353.21486022882,0.0,0.0,11353.21486022882,47.0,11400.21486022882
2030-09-23 20:00:00,11641.283385062492,0.0,0.0,11641.283385062492,47.0,11688.283385062492
2030-09-23 20:15:00,11753.073702063164,0.0,0.0,11753.073702063164,47.0,11800.073702063164
2030-09-23 20:30:00,11812.026450509184,0.0,0.0,11812.026450509184,47.0,11859.026450509184
2030-09-23 20:45:00,11827.324076781759,0.0,0.0,11827.324076781759,47.0,11874.324076781759
2030-09-23 21:00:00,11936.49677810707,0.0,0.0,11936.49677810707,47.0,11983.49677810707
2030-09-23 21:15:00,12054.644556965824,0.0,0.0,12054.644556965824,47.0,12101.644556965824
2030-09-23 21:30:00,11988.007418159485,0.0,0.0,11988.007418159485,47.0,12035.007418159485
2030-09-23 21:45:00,11826.086110089134,0.0,0.0,11826.086110089134,47.0,11873.086110089134
2030-09-23 22:00:00,11569.748676135452,0.0,0.0,11569.748676135452,47.0,11616.748676135452
2030-09-23 22:15:00,11386.2405861908,0.0,0.0,11386.2405861908,47.0,11433.2405861908
2030-09-23 22:30:00,11234.478745916513,0.0,0.0,11234.478745916513,47.0,11281.478745916513
2030-09-23 22:45:00,11461.973609719438,0.0,0.0,11461.973609719438,47.0,11508.973609719438
2030-09-23 23:00:00,11789.602849606103,0.0,0.0,11789.602849606103,47.0,11836.602849606103
2030-09-23 23:15:00,12473.748787238963,0.0,0.0,12473.748787238963,47.0,12520.748787238963
2030-09-23 23:30:00,12680.516858694647,0.0,0.0,12680.516858694647,47.0,12727.516858694647
2030-09-23 23:45:00,12845.752298310637,0.0,0.0,12845.752298310637,47.0,12892.752298310637
