Datum,Gesamterzeugung_EE,Speicher Ladeleistung,Speicher Entladeleistung,Speicher + Erneuerbare in MWh
2030-01-02 05:45:00,21610.75168057534,0.0,0.0,21610.75168057534
2030-01-02 06:00:00,22069.87602340947,0.0,0.0,22069.87602340947
2030-01-02 06:15:00,22529.620531226123,0.0,0.0,22529.620531226123
2030-01-02 06:30:00,22655.456155408414,0.0,0.0,22655.456155408414
2030-01-02 06:45:00,22815.326733210564,0.0,0.0,22815.326733210564
2030-01-02 07:00:00,23022.113292999882,0.0,0.0,23022.113292999882
2030-01-02 07:15:00,23152.240104990262,0.0,0.0,23152.240104990262
2030-01-02 07:30:00,23308.537145577837,0.0,0.0,23308.537145577837
2030-01-02 07:45:00,23701.015934796585,0.0,0.0,23701.015934796585
2030-01-02 08:00:00,23844.634560518833,0.0,0.0,23844.634560518833
2030-01-02 08:15:00,23989.497214516705,0.0,0.0,23989.497214516705
2030-01-02 08:30:00,24230.29584435421,0.0,0.0,24230.29584435421
2030-01-02 08:45:00,24536.341967523702,0.0,0.0,24536.341967523702
2030-01-02 09:00:00,25234.91544959137,0.0,0.0,25234.91544959137
2030-01-02 09:15:00,25597.894699458717,0.0,0.0,25597.894699458717
2030-01-02 09:30:00,25895.14475552197,0.0,0.0,25895.14475552197
2030-01-02 09:45:00,25761.729501252466,0.0,0.0,25761.729501252466
2030-01-02 10:00:00,25936.56571777147,0.0,0.0,25936.56571777147
2030-01-02 10:15:00,26492.621569633477,0.0,0.0,26492.621569633477
2030-01-02 10:30:00,26549.385628526725,0.0,0.0,26549.385628526725
2030-01-02 10:45:00,26742.542920079777,0.0,0.0,26742.542920079777
2030-01-02 11:00:00,27150.178589093055,0.0,0.0,27150.178589093055
2030-01-02 11:15:00,27421.615626121464,0.0,0.0,27421.615626121464
2030-01-02 11:30:00,27468.986383632233,0.0,0.0,27468.986383632233
2030-01-02 11:45:00,27553.504056623562,0.0,0.0,27553.504056623562
2030-01-02 12:00:00,27444.147365030774,0.0,0.0,27444.147365030774
2030-01-02 12:15:00,27424.99909394869,0.0,0.0,27424.99909394869
2030-01-02 12:30:00,27487.138211606878,0.0,0.0,27487.138211606878
2030-01-02 12:45:00,27335.33331581604,0.0,0.0,27335.33331581604
2030-01-02 13:00:00,27178.79493822615,0.0,0.0,27178.79493822615
2030-01-02 13:15:00,26856.15180456831,0.0,0.0,26856.15180456831
2030-01-02 13:30:00,26461.568571715317,0.0,0.0,26461.568571715317
2030-01-02 13:45:00,26178.142131035365,0.0,0.0,26178.142131035365
2030-01-02 14:00:00,26071.831168781133,0.0,0.0,26071.831168781133
2030-01-02 14:15:00,25762.089288649106,0.0,0.0,25762.089288649106
2030-01-02 14:30:00,25155.94259205435,0.0,0.0,25155.94259205435
2030-01-02 14:45:00,24444.01657075203,0.0,0.0,24444.01657075203
2030-01-02 15:00:00,23597.853597798516,0.0,0.0,23597.853597798516
2030-01-02 15:15:00,23012.635500275315,0.0,0.0,23012.635500275315
2030-01-02 15:30:00,22630.368904912233,0.0,0.0,22630.368904912233
2030-01-02 15:45:00,22450.528848294074,0.0,0.0,22450.528848294074
2030-01-02 16:00:00,22070.573915620644,0.0,0.0,22070.573915620644
2030-01-02 16:15:00,21682.184301188427,0.0,0.0,21682.184301188427
2030-01-02 16:30:00,21516.337339629874,0.0,0.0,21516.337339629874
2030-01-02 16:45:00,21447.567403960013,0.0,0.0,21447.567403960013
2030-01-02 17:00:00,21480.274834420467,0.0,0.0,21480.274834420467
2030-01-02 17:15:00,21565.202622628007,0.0,0.0,21565.202622628007
2030-01-02 17:30:00,21850.199712465183,0.0,0.0,21850.199712465183
2030-01-02 17:45:00,22149.964315267374,0.0,0.0,22149.964315267374
2030-01-02 18:00:00,22174.293857771772,0.0,0.0,22174.293857771772
2030-01-02 18:15:00,22152.50715553174,0.0,0.0,22152.50715553174
2030-01-02 18:30:00,22216.51863617464,0.0,0.0,22216.51863617464
2030-01-02 18:45:00,22322.236863652226,0.0,0.0,22322.236863652226
2030-01-02 19:00:00,22351.65736475395,0.0,0.0,22351.65736475395
2030-01-02 19:15:00,22176.238277368662,0.0,0.0,22176.238277368662
2030-01-02 19:30:00,22099.50414524651,0.0,0.0,22099.50414524651
2030-01-02 19:45:00,21978.166175341677,0.0,0.0,21978.166175341677
2030-01-02 20:00:00,21868.921252563414,0.0,0.0,21868.921252563414
2030-01-02 20:15:00,21870.567031288538,0.0,0.0,21870.567031288538
2030-01-02 20:30:00,21891.921403798457,0.0,0.0,21891.921403798457
2030-01-02 20:45:00,21940.016136183192,0.0,0.0,21940.016136183192
2030-01-02 21:00:00,21777.87917230749,0.0,0.0,21777.87917230749
2030-01-02 21:15:00,21672.66773050884,0.0,0.0,21672.66773050884
2030-01-02 21:30:00,21540.941541059437,0.0,0.0,21540.941541059437
2030-01-02 21:45:00,21036.31188009733,0.0,0.0,21036.31188009733
2030-01-02 22:00:00,20813.641431858723,0.0,0.0,20813.641431858723
2030-01-02 22:15:00,20762.839830985336,0.0,0.0,20762.839830985336
2030-01-02 22:30:00,20714.580843627682,0.0,0.0,20714.580843627682
2030-01-02 22:45:00,20722.07062250341,0.0,0.0,20722.07062250341
2030-01-02 23:00:00,20623.593297320334,0.0,0.0,20623.593297320334
2030-01-02 23:15:00,20568.58388012128,0.0,0.0,20568.58388012128
2030-01-02 23:30:00,20442.493317451,0.0,0.0,20442.493317451
2030-01-02 23:45:00,20371.61361942233,0.0,0.0,20371.61361942233
2030-01-03 00:00:00,20155.227386723884,0.0,0.0,20155.227386723884
2030-01-03 00:15:00,20137.340251365007,0.0,0.0,20137.340251365007
2030-01-03 00:30:00,20131.60916494845,0.0,0.0,20131.60916494845
2030-01-03 00:45:00,19945.852951628745,0.0,0.0,19945.852951628745
2030-01-03 01:00:00,19779.103500273137,0.0,0.0,19779.103500273137
2030-01-03 01:15:00,19716.9016176151,0.0,0.0,19716.9016176151
2030-01-03 01:30:00,19566.169687347843,0.0,0.0,19566.169687347843
2030-01-03 01:45:00,19470.402259964354,0.0,0.0,19470.402259964354
2030-01-03 02:00:00,19306.664814176398,0.0,0.0,19306.664814176398
2030-01-03 02:15:00,19062.86536501623,0.0,0.0,19062.86536501623
2030-01-03 02:30:00,18734.708607826662,0.0,0.0,18734.708607826662
2030-01-03 02:45:00,18433.768276756564,0.0,0.0,18433.768276756564
