Datum,Differenz in MWh,positive Werte,negative Werte
2030-01-04 08:15:00,7752.892667855867,7752.892667855867,0.0
2030-01-04 08:30:00,7777.680056249912,7777.680056249912,0.0
2030-01-04 08:45:00,7913.190603073985,7913.190603073985,0.0
2030-01-04 09:00:00,8117.501789664457,8117.501789664457,0.0
2030-01-04 09:15:00,8259.068423445278,8259.068423445278,0.0
2030-01-04 09:30:00,8402.84022058209,8402.84022058209,0.0
2030-01-04 09:45:00,8686.3989024511,8686.3989024511,0.0
2030-01-04 10:00:00,8771.528375792965,8771.528375792965,0.0
2030-01-04 10:15:00,8965.169405501325,8965.169405501325,0.0
2030-01-04 10:30:00,9083.875492132476,9083.875492132476,0.0
2030-01-04 10:45:00,9117.989005564574,9117.989005564574,0.0
2030-01-04 11:00:00,9010.418430824673,9010.418430824673,0.0
2030-01-04 11:15:00,8523.749248323522,8523.749248323522,0.0
2030-01-04 11:30:00,8648.88592358866,8648.88592358866,0.0
2030-01-04 11:45:00,8966.37860128647,8966.37860128647,0.0
2030-01-04 12:00:00,9325.249296110422,9325.249296110422,0.0
2030-01-04 12:15:00,9803.105688376967,9803.105688376967,0.0
2030-01-04 12:30:00,10032.63890689117,10032.63890689117,0.0
2030-01-04 12:45:00,10075.388632442795,10075.388632442795,0.0
2030-01-04 13:00:00,9976.601962142431,9976.601962142431,0.0
2030-01-04 13:15:00,9982.502708397249,9982.502708397249,0.0
2030-01-04 13:30:00,9945.735773822926,9945.735773822926,0.0
2030-01-04 13:45:00,9902.989637794588,9902.989637794588,0.0
2030-01-04 14:00:00,9834.699947761012,9834.699947761012,0.0
2030-01-04 14:15:00,9697.641886777943,9697.641886777943,0.0
2030-01-04 14:30:00,9540.786883937966,9540.786883937966,0.0
2030-01-04 14:45:00,9368.179762953168,9368.179762953168,0.0
2030-01-04 15:00:00,9336.359953115367,9336.359953115367,0.0
2030-01-04 15:15:00,9177.682485900139,9177.682485900139,0.0
2030-01-04 15:30:00,9285.035921663071,9285.035921663071,0.0
2030-01-04 15:45:00,9522.094381107596,9522.094381107596,0.0
2030-01-04 16:00:00,9416.322660190035,9416.322660190035,0.0
2030-01-04 16:15:00,9259.87373588574,9259.87373588574,0.0
2030-01-04 16:30:00,9020.478624282627,9020.478624282627,0.0
2030-01-04 16:45:00,8947.644453087705,8947.644453087705,0.0
2030-01-04 17:00:00,8768.040445470768,8768.040445470768,0.0
2030-01-04 17:15:00,8676.817611847426,8676.817611847426,0.0
2030-01-04 17:30:00,8489.164674978274,8489.164674978274,0.0
